id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
1992,https://en.wind-turbine-models.com/turbines/1992-aerodyn-scd-2-5-130-light-wind,aerodyn,aerodyn SCD 2.5/130 light wind,2500,130,13273,3,100,,,,11.8,,,steel tube,137000,,,,,,,,No,Yes
1118,https://en.wind-turbine-models.com/turbines/1118-aerodyn-scd-3-0-115-basic,aerodyn,aerodyn SCD 3.0/115 basic,3000,115,10386.9,2,85,3,20,11.5,17.1,synchronous permanent,,steel tube,108000,,,,,,50/60 Hz,,Yes,Yes
1107,https://en.wind-turbine-models.com/turbines/1107-aerodyn-am-3-0-134,aerodyn,aerodyn aM 3.0/134,3000,133.6,14018.5,3,,3,22,10,10.5,DFIG/PMSG,,,115000,74600,,,,690,50/60 Hz,,No,Yes
1985,https://en.wind-turbine-models.com/turbines/1985-aerodyn-am-3-0-145,aerodyn,aerodyn aM 3.0/145,3000,145,16512.9,3,,3,25,,10.6,DFIG / PMSG,,,133000,103000,,,,690,50/60 Hz,,No,Yes
1984,https://en.wind-turbine-models.com/turbines/1984-aerodyn-am-3-2-140,aerodyn,aerodyn aM 3.2/140,3200,140,15393,3,,3,25,,10.9,DFIG / PMSG,,,133000,105000,,,,690,50/60 Hz,,No,Yes
1119,https://en.wind-turbine-models.com/turbines/1119-aerodyn-scd-3-5-100-nearshore,aerodyn,aerodyn SCD 3.5/100 nearshore,3500,100,7854,2,75,,,,19.1,synchronous permanent,,steel tube,108000,,,,,,50/60 Hz,,Yes,Yes
1987,https://en.wind-turbine-models.com/turbines/1987-aerodyn-am-4-0-140,aerodyn,aerodyn aM 4.0/140,4000,140.4,15481.8,3,,3,25,,11.3,DFIG / PMSG,,,167000,115000,,,,690,50/60 Hz,,No,Yes
1988,https://en.wind-turbine-models.com/turbines/1988-aerodyn-am-4-2-147,aerodyn,aerodyn aM 4.2/147,4200,147,16971.6,3,,3,22,,11.3,DFIG / PMSG,,,167000,127000,,,,690,50/60 Hz,,No,Yes
1986,https://en.wind-turbine-models.com/turbines/1986-aerodyn-am-4-5-126,aerodyn,aerodyn aM 4.5/126,4500,126.4,12548,3,,3,25,,12.5,DFIG / PMSG,,,167000,110000,,,,690,50/60 Hz,,No,Yes
1106,https://en.wind-turbine-models.com/turbines/1106-aerodyn-am-5-0-130,aerodyn,aerodyn aM 5.0/130,5000,130,13273,3,100,3.5,25,12,12.5,ASG or PMSG,,steel tube,277000,117000,,21400,,3300,50/60 Hz,,Yes,Yes
